CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000019,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,97.39,2418.64,No
CUST_000020,Male,0,No,No,56,No,No,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.3,5549.37,No
CUST_000021,Female,0,No,No,1,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),67.1,205.86,No
CUST_000022,Male,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,95.45,4435.73,Yes
CUST_000023,Female,0,No,No,15,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Electronic check,57.37,967.37,Yes
CUST_000024,Female,0,Yes,No,8,No,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.64,629.93,Yes
CUST_000025,Female,0,Yes,Yes,29,No,No,Fiber optic,Yes,No,Yes,No,No,No internet service,One year,Yes,Mailed check,49.67,1335.81,No
CUST_000026,Female,0,No,No,30,Yes,No,DSL,No,No,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),30.86,784.0,No
CUST_000027,Female,1,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,101.26,6748.41,No
CUST_000028,Female,0,Yes,No,1,Yes,No,No,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,21.58,75.79,Yes
CUST_000029,Female,1,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),66.43,1507.89,No
CUST_000030,Female,0,Yes,No,24,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.36,2821.91,Yes
CUST_000031,Male,0,No,No,3,Yes,Yes,No,Yes,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),18.35,112.07,No
CUST_000032,Male,0,No,No,65,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,112.24,7153.46,Yes
CUST_000033,Female,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,27.21,1560.4,No
CUST_000034,Female,0,Yes,No,71,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),75.9,5359.58,Yes
CUST_000035,Female,0,No,No,22,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Two year,No,Electronic check,62.44,1411.14,No
CUST_000036,Male,0,Yes,No,11,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,38.07,440.16,No
CUST_000037,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),89.62,6158.31,No
CUST_000038,Male,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),47.77,572.71,No
CUST_000039,Male,0,No,No,66,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),93.23,6077.52,No
CUST_000040,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,57.85,3016.86,No
CUST_000041,Male,0,Yes,No,9,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,22.52,217.39,Yes
CUST_000042,Male,0,No,No,20,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,61.56,1286.41,Yes
CUST_000043,Female,0,No,No,9,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,83.82,875.4,No
CUST_000044,Female,0,No,No,61,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),30.51,1980.88,No
CUST_000045,Female,1,No,No,15,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),101.11,1541.04,No
CUST_000046,Female,0,Yes,No,61,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.83,4824.11,No
CUST_000047,Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),109.18,3805.67,Yes
CUST_000048,Male,0,No,No,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.62,2379.31,No
CUST_000049,Female,0,Yes,No,52,No,No,No,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),115.3,6022.46,No
CUST_000050,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,61.57,2582.41,Yes
CUST_000051,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),51.85,643.88,No
CUST_000052,Female,0,Yes,Yes,15,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No,One year,No,Mailed check,103.58,1496.75,No
CUST_000053,Male,0,No,No,33,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,85.13,2975.76,No
CUST_000054,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),54.52,129.15,No
CUST_000055,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.19,762.23,No
CUST_000056,Female,0,Yes,Yes,46,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,44.1,1964.88,Yes
CUST_000057,Female,0,Yes,No,49,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,109.7,5633.13,No
CUST_000058,Male,0,No,Yes,40,Yes,Yes,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,98.84,3851.76,No
CUST_000059,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,59.68,2291.03,No
CUST_000060,Male,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,No internet service,One year,Yes,Electronic check,54.21,2950.38,No
CUST_000061,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.96,5923.76,Yes
CUST_000062,Male,0,No,No,69,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,67.01,4443.26,No
CUST_000063,Male,0,Yes,No,26,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),95.36,2486.4,Yes
CUST_000064,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,83.07,199.9,Yes
CUST_000065,Male,0,Yes,No,50,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),36.06,1771.37,No
CUST_000066,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.88,108.88,No
CUST_000067,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,80.46,5434.38,No
CUST_000068,Male,0,Yes,No,28,No,No,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,51.01,1620.55,No
CUST_000069,Female,0,No,No,58,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No,Two year,No,Electronic check,54.56,3154.98,No
CUST_000070,Female,1,No,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),42.0,2552.26,No
CUST_000071,Female,0,No,No,10,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,77.36,777.15,Yes
CUST_000072,Female,0,No,No,15,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),37.05,543.8,No
CUST_000073,Male,1,Yes,No,18,Yes,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.52,876.15,Yes
CUST_000074,Female,1,Yes,Yes,39,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),112.68,4442.56,No
CUST_000075,Male,1,No,No,63,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,22.67,1442.27,No
CUST_000076,Female,0,No,No,12,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,90.71,1277.25,No
CUST_000077,Female,0,No,Yes,72,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.77,2259.0,Yes
CUST_000078,Female,0,No,Yes,42,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Credit card (automatic),54.64,2191.47,No
CUST_000079,Male,0,Yes,Yes,65,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,75.9,5137.0,No
CUST_000080,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),117.05,4281.28,No
CUST_000081,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),50.44,3705.1,No
CUST_000082,Female,0,No,No,46,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),37.47,1716.25,No
CUST_000083,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,81.15,1428.65,Yes
CUST_000084,Female,1,No,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),66.05,1235.64,No
CUST_000085,Male,0,No,No,55,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,44.45,2499.35,Yes
CUST_000086,Male,0,Yes,Yes,13,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,91.81,1154.08,Yes
CUST_000087,Female,0,Yes,No,6,Yes,No,DSL,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,96.31,647.6,No
CUST_000088,Male,0,No,No,29,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.9,2584.6,Yes
CUST_000089,Female,0,No,No,2,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,102.07,320.56,Yes
CUST_000090,Female,0,Yes,No,49,Yes,No,DSL,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,86.54,4341.2,Yes
CUST_000091,Female,1,No,Yes,68,Yes,No,DSL,No,No internet service,Yes,Yes,No,No,One year,No,Electronic check,86.95,5924.88,No
CUST_000092,Female,0,No,No,49,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.87,2995.3,No
CUST_000093,Female,0,Yes,Yes,8,No,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,76.49,493.39,No
CUST_000094,Female,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.79,4800.65,No
CUST_000095,Female,0,No,No,2,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.53,70.53,Yes
CUST_000096,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,87.39,513.87,Yes
CUST_000097,Female,0,No,Yes,46,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Mailed check,107.02,5030.74,No
CUST_000098,Female,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,61.25,1956.89,Yes
CUST_000099,Female,0,Yes,No,10,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,62.6,628.76,No
CUST_000100,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,96.34,5878.59,No
CUST_000101,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.0,2687.24,No
CUST_000102,Female,0,Yes,No,52,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,26.0,1205.73,Yes
CUST_000103,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),56.69,2937.45,Yes
CUST_000104,Female,0,No,No,32,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.89,2242.8,Yes
CUST_000105,Female,0,Yes,Yes,52,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),46.28,2452.57,No
CUST_000106,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,85.98,2329.15,No
CUST_000107,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.28,1860.47,Yes
CUST_000108,Female,0,No,No,39,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.38,1956.99,No
CUST_000109,Female,1,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),35.47,558.54,No
CUST_000110,Male,1,No,No,11,No,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,91.88,1183.76,No
CUST_000111,Female,0,No,Yes,62,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,No,Electronic check,18.36,1110.25,No
CUST_000112,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.06,59.64,Yes
CUST_000113,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,49.79,1946.9,No
CUST_000114,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,30.51,1250.67,Yes
CUST_000115,Male,0,Yes,No,14,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,114.93,1682.88,Yes
CUST_000116,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,51.28,347.04,No
CUST_000117,Male,0,No,No,7,Yes,No,DSL,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Mailed check,103.73,726.6,No
CUST_000118,Female,1,No,No,23,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,64.47,1504.45,No
CUST_000119,Female,0,Yes,No,57,Yes,No,No,No,No,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),76.74,4462.56,No
CUST_000120,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),77.94,5603.38,Yes
CUST_000121,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,74.46,4736.12,No
CUST_000122,Male,0,Yes,No,20,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.64,2475.1,No
CUST_000123,Female,0,No,No,57,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,76.78,4406.96,Yes
CUST_000124,Male,1,No,No,54,No,No,DSL,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),117.93,6487.06,Yes
CUST_000125,Male,0,No,No,46,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,53.22,2278.93,No
CUST_000126,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,80.57,3094.87,No
CUST_000127,Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,No,Electronic check,113.24,5251.5,Yes
CUST_000128,Male,1,No,No,8,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),85.89,710.26,Yes
CUST_000129,Female,0,Yes,No,19,No,Yes,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,43.56,878.32,No
CUST_000130,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Two year,No,Credit card (automatic),102.4,7053.14,No
CUST_000131,Female,0,No,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,71.0,3300.78,No
CUST_000132,Male,0,No,No,34,No,No,No,No,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),91.36,3104.5,Yes
CUST_000133,Male,0,Yes,No,44,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,20.88,861.87,No
CUST_000134,Male,0,Yes,No,7,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),58.35,429.11,No
CUST_000135,Male,0,Yes,No,21,Yes,No phone service,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.56,1782.1,Yes
CUST_000136,Male,0,No,No,44,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),86.23,3856.21,No
CUST_000137,Male,1,Yes,Yes,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),72.28,1837.73,Yes
CUST_000138,Male,0,No,Yes,47,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,22.33,1139.74,No
CUST_000139,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),98.7,267.48,No
CUST_000140,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.66,5206.44,No
CUST_000141,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,27.89,1951.17,No
CUST_000142,Male,1,No,No,53,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.14,5491.99,Yes
CUST_000143,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,80.93,4221.74,Yes
CUST_000144,Female,0,No,Yes,65,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),103.41,6786.99,No
CUST_000145,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Electronic check,102.06,2829.59,Yes
CUST_000146,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,87.8,2004.03,No
CUST_000147,Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,47.04,234.71,Yes
CUST_000148,Male,0,No,No,35,Yes,No,No,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,95.86,3521.38,No
CUST_000149,Male,0,No,No,23,Yes,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,51.28,1195.82,No
CUST_000150,Female,1,No,No,46,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),52.55,2264.12,No
CUST_000151,Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.29,5921.11,Yes
CUST_000152,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,109.26,237.21,No
CUST_000153,Male,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,63.11,2420.58,No
CUST_000154,Male,0,No,No,36,Yes,No,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,74.71,2667.44,No
CUST_000155,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),40.9,2343.59,No
CUST_000156,Female,0,No,No,56,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,85.6,4747.29,Yes
CUST_000157,Male,0,Yes,Yes,18,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,49.2,1058.58,No
CUST_000158,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,107.42,4016.51,No
CUST_000159,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),18.44,96.15,Yes
CUST_000160,Female,1,No,No,26,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),66.33,1651.52,No
CUST_000161,Male,0,Yes,No,59,Yes,Yes,No,Yes,Yes,No,No,No,No internet service,Two year,No,Electronic check,101.82,5874.8,No
CUST_000162,Male,0,Yes,No,1,No,No,No,No internet service,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),47.78,47.78,Yes
CUST_000163,Female,0,No,No,15,Yes,Yes,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.0,1043.71,No
CUST_000164,Female,0,Yes,No,68,No,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,28.88,1934.74,Yes
CUST_000165,Female,0,No,No,40,Yes,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),29.9,1284.1,No
CUST_000166,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,82.3,537.84,Yes
CUST_000167,Female,0,Yes,No,36,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),99.47,3382.03,No
CUST_000168,Male,0,Yes,No,48,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Electronic check,24.33,1079.1,Yes
CUST_000169,Male,0,No,No,21,Yes,No,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.68,791.15,No
CUST_000170,Female,0,Yes,No,60,Yes,No phone service,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.53,3744.45,Yes
CUST_000171,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),114.57,1711.29,No
CUST_000172,Male,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,27.88,183.32,No
CUST_000173,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.99,5790.63,No
