gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,62,1,2,1,0,1,2,0,0,0,1,0,2,20.27,1487.0,0
1,1,1,1,72,1,0,1,2,0,0,0,0,0,0,1,1,42.94,3261.58,0
0,0,1,0,55,1,2,0,0,0,2,0,2,2,0,1,3,56.42,3222.67,1
1,0,1,0,5,1,1,0,0,1,0,2,2,0,1,1,1,79.45,512.81,1
1,0,0,0,59,1,0,0,2,2,0,0,0,0,0,0,3,41.85,2719.94,0
0,0,1,0,60,1,0,0,0,1,0,0,1,1,2,1,0,106.47,6505.67,0
1,0,0,0,41,1,1,1,2,2,2,1,1,0,0,1,3,26.47,973.52,1
1,0,1,1,61,1,2,0,0,2,0,0,2,0,0,1,1,78.92,4976.53,1
0,0,1,0,28,1,0,1,0,2,0,1,2,2,0,1,0,44.71,1418.36,0
0,0,1,0,40,1,0,2,0,2,1,0,0,2,0,1,1,29.2,1386.48,1
0,0,1,0,35,1,2,0,0,2,0,1,2,0,2,1,0,72.96,2519.57,0
0,1,1,1,9,1,1,1,0,0,2,2,1,1,0,0,2,90.67,914.93,1
1,0,0,0,45,0,0,1,0,0,2,0,0,2,0,0,0,25.36,1180.87,1
0,0,1,0,51,1,0,2,2,1,2,0,2,0,1,0,1,22.57,1169.51,0
0,0,1,0,26,1,1,0,0,1,1,0,0,1,1,1,0,72.62,1927.22,0
0,0,0,0,27,1,2,1,2,1,2,0,2,1,2,1,0,66.56,1610.87,0
1,0,1,1,59,1,0,0,0,0,0,0,2,0,1,1,1,95.07,5409.65,0
0,1,1,0,57,1,0,1,2,0,2,0,0,1,0,1,0,51.22,2902.47,0
0,1,1,1,46,1,0,2,0,0,0,1,0,0,1,1,1,113.62,5099.18,1
1,0,1,0,22,1,0,1,0,0,2,1,2,0,0,1,1,68.14,1566.98,1
1,0,0,0,22,1,2,0,0,0,0,0,0,2,0,0,2,21.11,522.29,0
0,0,1,0,34,1,0,0,0,1,2,0,2,2,1,1,2,74.99,2506.82,0
1,1,0,0,20,1,0,1,2,2,0,0,1,0,2,1,1,53.07,922.76,0
1,0,1,1,68,0,2,0,0,2,2,2,0,1,2,1,2,100.09,6815.91,0
1,0,1,1,9,1,1,1,1,2,1,0,1,0,0,1,1,75.86,620.84,1
0,0,1,0,26,1,0,0,0,2,0,0,2,0,2,0,3,78.46,2207.23,0
1,0,0,0,40,1,0,1,1,2,0,2,0,2,0,0,2,104.01,4261.09,0
0,0,1,0,33,1,0,1,0,0,0,1,0,0,0,0,3,98.71,3253.76,1
1,0,0,1,57,1,2,0,2,0,1,2,1,1,2,0,1,80.43,4690.26,0
0,0,1,0,7,1,1,1,0,2,0,0,2,1,1,0,2,28.59,275.43,0
1,0,1,0,17,1,2,1,0,2,1,2,0,2,0,0,2,51.51,942.82,1
0,0,1,1,61,1,2,1,0,1,0,1,2,2,2,1,1,30.7,1907.43,0
1,1,0,0,65,1,0,0,0,1,2,2,2,2,0,0,0,35.92,2191.32,0
1,0,0,0,21,1,1,2,0,0,0,1,0,2,2,1,2,98.1,2070.91,1
1,0,0,0,27,0,2,1,0,0,1,0,2,2,2,0,3,81.09,2228.91,0
0,0,1,0,27,1,2,2,2,0,0,1,0,0,0,1,2,34.38,1066.27,0
1,0,1,0,40,1,0,2,2,0,0,2,2,0,0,1,1,62.17,2453.89,1
1,0,0,1,11,1,0,1,0,1,0,2,0,2,2,1,3,56.3,629.12,0
0,0,1,0,58,1,2,1,0,0,2,1,2,1,0,0,0,49.79,2941.64,1
0,0,1,1,27,1,1,1,0,1,1,0,0,2,2,0,1,22.06,702.6,0
0,0,1,0,44,1,2,0,0,1,2,1,0,2,2,0,3,66.36,2817.13,1
1,1,1,0,41,1,0,2,0,0,1,2,0,0,1,1,0,99.36,4184.5,0
1,0,0,1,61,1,2,0,1,0,0,0,2,2,0,1,2,79.17,4775.91,0
1,0,1,1,33,0,2,2,0,1,0,2,1,2,0,1,2,102.8,3319.68,0
1,0,0,1,21,0,2,1,0,0,0,1,1,0,0,0,0,94.34,2031.42,1
1,0,0,0,65,1,0,2,0,0,1,1,0,0,2,1,3,58.82,4027.62,0
0,1,0,0,63,1,0,0,2,2,0,0,0,2,0,0,3,73.69,4579.85,1
1,0,0,0,58,1,0,0,0,0,0,2,0,0,0,1,1,99.34,5777.38,1
0,0,0,0,35,1,0,1,0,2,0,0,0,0,1,1,1,117.05,4281.28,0
1,0,1,1,52,1,2,1,2,2,0,1,1,2,0,0,1,21.13,1144.73,0
0,0,1,0,70,1,0,2,2,0,2,1,0,1,1,0,1,21.72,1725.6,0
0,0,1,0,66,1,1,1,0,2,0,2,2,1,0,1,2,31.1,2189.0,0
0,0,0,1,10,1,0,2,0,1,2,0,0,2,0,0,2,33.77,407.94,0
1,0,0,1,32,1,2,0,1,0,1,0,0,2,0,0,0,28.18,766.68,0
0,0,0,1,68,1,0,0,0,1,2,0,2,0,1,1,1,28.42,1725.4,0
0,0,0,0,61,1,2,0,0,2,0,0,2,2,1,1,3,105.79,6399.41,0
1,0,1,0,42,1,0,1,0,2,2,1,0,1,2,1,1,70.88,3032.72,0
1,0,0,1,23,1,1,0,0,0,2,0,1,2,0,1,3,108.37,2356.48,0
1,0,1,0,42,1,0,1,0,1,0,0,2,2,1,0,2,73.74,3148.12,1
1,0,0,0,25,1,2,2,2,2,1,1,2,1,1,1,2,31.93,646.51,0
1,1,1,0,36,1,2,0,1,0,2,2,2,1,0,0,2,50.12,1886.6,0
0,0,0,0,58,1,2,1,0,1,0,0,0,0,2,1,3,32.79,1861.7,0
1,0,0,0,27,1,2,1,0,2,0,1,2,1,0,0,3,103.22,2961.73,1
1,0,0,0,58,1,0,0,0,0,1,1,1,2,0,1,2,79.7,4548.18,0
0,0,1,0,13,1,1,0,0,0,2,1,2,1,0,1,3,66.44,1110.56,1
1,0,0,1,66,1,0,1,2,2,1,0,0,0,2,1,1,60.26,4062.44,0
1,0,1,0,69,1,0,2,1,2,1,0,0,2,0,0,2,65.92,4405.71,0
0,0,0,0,33,0,0,2,0,0,1,0,0,0,0,0,0,68.28,2214.68,0
1,0,1,1,51,1,0,1,0,0,1,1,2,1,0,0,0,41.87,2201.23,1
1,0,1,1,16,1,2,0,1,2,1,2,0,0,1,1,3,25.87,438.75,1
0,0,0,0,58,1,2,1,2,2,0,1,0,2,2,0,1,30.4,1694.39,0
0,0,1,0,2,1,0,0,0,0,2,2,2,2,1,0,0,48.44,85.97,0
0,1,0,0,11,1,0,1,0,2,0,0,1,1,1,1,2,100.91,1121.99,0
0,0,0,0,60,1,2,2,0,2,0,2,2,0,0,0,3,108.22,6442.62,0
1,0,0,0,68,1,0,2,0,2,2,1,0,1,1,0,2,100.35,6945.61,0
1,0,0,0,13,0,2,2,1,2,0,0,2,0,0,1,1,27.77,261.78,0
0,0,1,0,6,1,2,0,2,0,1,1,2,2,0,0,3,82.45,455.3,1
0,0,1,1,15,1,0,2,2,0,0,0,1,0,1,0,3,53.58,861.18,1
0,0,1,0,44,0,0,0,2,2,2,2,1,0,0,0,0,65.94,2849.33,0
1,0,0,0,15,0,0,0,1,0,0,1,2,0,1,0,2,26.45,212.83,1
0,0,1,1,62,1,1,0,2,0,2,2,2,2,2,0,2,84.53,5240.89,0
1,0,1,0,69,1,0,2,1,1,0,1,0,0,2,0,1,19.9,1319.62,0
1,0,0,0,14,1,0,1,0,1,0,2,2,1,2,1,2,98.98,1398.53,0
0,0,1,0,17,1,2,2,0,2,0,2,0,0,2,1,2,22.68,361.19,0
0,0,1,0,59,1,2,2,2,2,0,2,0,0,0,0,1,53.78,3248.81,0
1,0,0,0,49,1,0,0,1,2,0,0,2,2,0,1,2,116.22,5668.91,1
1,0,1,0,29,1,2,1,0,1,1,0,0,2,0,1,3,25.51,825.79,1
1,1,1,1,41,1,2,0,0,1,1,0,2,0,0,0,2,118.37,4934.36,0
0,1,0,1,38,1,2,1,0,2,2,1,1,0,2,0,2,62.07,2398.04,0
0,0,0,0,69,1,0,2,0,2,2,1,0,0,0,0,3,57.34,4058.24,1
0,0,0,0,68,0,0,1,1,1,1,2,0,1,2,1,0,70.7,4807.48,0
0,0,0,0,48,1,2,0,2,1,2,0,2,0,0,1,3,43.69,2075.07,0
0,0,0,0,33,1,0,1,2,1,2,0,1,2,0,0,2,42.43,1253.94,1
1,0,1,0,62,1,2,1,2,2,1,0,2,2,2,1,1,28.28,1878.47,0
1,0,0,0,62,0,0,1,0,2,2,0,2,2,0,0,2,93.06,5839.47,0
1,0,1,1,29,0,2,0,0,1,0,0,2,2,1,1,0,49.1,1340.3,1
0,0,0,0,33,1,2,1,2,0,0,0,0,2,1,1,1,23.86,982.34,0
1,1,1,0,43,1,0,2,1,0,2,0,0,1,1,1,2,104.46,4536.97,1
0,0,0,0,58,1,2,2,2,1,1,0,2,0,0,1,2,89.83,5166.52,0
1,1,0,0,48,1,0,1,1,1,0,2,0,1,0,1,0,111.53,5266.42,1
1,0,1,0,66,1,2,2,0,0,2,2,1,2,2,0,3,117.56,7713.11,0
0,0,0,0,69,0,2,2,0,2,0,2,0,0,2,1,1,59.4,4083.72,0
0,0,1,0,36,1,0,0,2,0,0,1,2,0,2,0,3,82.05,2822.3,0
1,0,1,0,61,1,2,1,0,0,1,1,0,0,0,1,0,105.21,6391.65,0
1,0,0,0,54,1,0,0,0,2,0,2,0,2,0,0,1,77.39,3974.74,1
0,1,0,0,70,1,2,1,0,0,0,0,2,2,0,1,1,65.61,4573.86,0
0,0,0,0,26,1,0,2,2,1,0,2,1,2,0,1,3,55.91,1669.38,0
1,0,0,0,24,1,0,1,0,0,1,1,2,2,1,0,0,66.0,1576.84,0
1,0,0,1,35,1,0,1,0,1,2,2,2,1,1,1,0,27.82,900.32,0
0,0,1,0,67,1,2,0,0,2,1,1,0,2,0,0,3,55.06,3806.31,0
0,0,0,0,58,1,0,0,0,1,0,0,0,0,2,0,3,105.73,6128.64,0
1,0,0,1,20,1,0,1,0,2,2,2,1,1,2,1,0,29.6,772.1,0
0,0,1,0,31,1,0,0,0,2,1,0,1,1,0,0,1,97.86,2895.55,0
0,0,1,1,12,1,1,1,0,1,0,0,0,2,2,0,2,33.82,583.09,0
1,0,0,0,7,1,2,0,2,0,0,0,0,2,0,1,3,67.0,424.85,1
1,0,0,1,36,1,0,0,0,1,0,2,0,1,0,1,3,68.75,2463.99,1
1,0,0,1,37,1,2,0,1,2,0,2,1,2,1,1,2,96.23,3451.43,0
0,0,1,0,42,1,0,0,0,0,2,2,0,2,0,1,0,106.87,4578.08,1
0,0,1,1,67,1,2,0,0,1,0,2,1,2,0,0,2,72.58,4635.69,1
1,1,0,1,13,1,2,1,1,0,2,1,0,0,1,0,2,113.93,1384.28,0
0,1,1,0,42,1,0,0,2,0,0,0,0,2,0,1,3,102.95,4310.05,0
1,0,1,0,3,1,0,2,2,2,1,2,2,2,0,0,1,65.17,343.33,1
1,0,0,0,64,1,0,0,0,0,0,0,2,2,2,0,2,96.79,6157.64,0
1,0,1,0,21,1,2,0,1,2,2,1,2,2,0,0,1,64.43,1434.37,0
0,0,1,1,27,1,0,1,2,0,0,1,1,0,1,1,1,109.68,3080.67,1
1,0,0,0,17,0,2,1,0,0,2,1,1,0,0,1,3,84.05,1605.0,1
0,0,1,1,70,1,0,1,2,1,0,0,2,2,2,1,1,115.32,8201.41,0
1,0,0,0,36,1,1,0,0,1,0,2,2,2,0,1,0,48.25,1542.36,0
1,0,0,0,22,0,0,0,1,0,2,2,1,0,0,1,1,104.19,2465.31,1
0,0,0,0,16,1,0,2,1,0,2,2,1,0,0,0,3,59.0,1072.48,0
1,0,0,1,44,1,2,0,2,2,0,2,0,2,1,0,3,60.43,2651.1,0
1,1,0,1,63,1,0,2,0,2,1,2,0,1,2,1,3,110.47,6994.56,0
0,0,1,1,9,1,2,0,0,0,2,0,1,1,2,0,2,107.86,923.08,0
0,0,0,0,32,1,1,1,2,0,0,0,0,1,0,1,0,36.45,1356.27,0
1,0,0,0,11,1,2,0,2,1,2,0,2,2,0,0,2,105.27,1074.19,1
1,0,0,0,32,1,0,1,0,0,0,0,1,2,0,1,2,97.94,3128.79,1
0,0,0,0,22,1,2,0,1,2,2,0,2,2,0,1,1,109.41,2471.68,0
0,0,1,0,71,1,0,2,0,1,2,0,1,2,0,1,1,93.18,6592.82,0
0,0,1,0,13,1,0,1,1,0,2,0,0,1,0,0,0,117.8,1534.15,0
1,0,1,0,55,1,0,0,2,0,0,2,1,2,0,1,1,69.46,3720.79,0
0,0,1,1,61,0,2,1,1,0,1,0,0,1,0,1,2,29.96,1806.4,0
0,0,1,0,41,1,0,1,2,1,1,2,0,2,2,1,2,20.07,688.38,0
0,0,1,1,61,1,2,1,0,1,0,0,2,0,0,1,2,72.32,4513.99,1
0,0,0,1,37,1,2,2,1,0,1,2,1,0,0,1,2,84.09,3088.46,1
0,0,1,0,2,1,0,1,0,1,0,2,1,0,0,0,3,67.38,110.31,0
1,0,1,1,45,1,1,2,0,0,2,2,0,1,2,1,3,111.55,5052.11,0
0,0,1,0,60,1,0,1,0,0,0,0,2,0,2,1,3,41.94,2531.2,0
0,0,0,0,62,1,0,2,0,0,0,2,2,2,1,0,3,18.77,1203.71,0
0,0,1,0,27,1,0,0,1,2,0,2,0,2,0,0,3,74.73,2002.23,0
1,0,1,1,69,1,2,2,0,0,1,1,2,0,0,0,1,69.86,4701.42,1
1,0,1,0,54,1,2,1,0,2,2,0,0,2,1,0,2,103.95,5584.32,1
0,0,1,1,49,1,0,1,0,0,2,2,0,0,0,1,2,28.66,1368.62,0
1,0,1,0,37,1,2,1,1,1,2,0,0,0,2,1,1,104.85,3886.59,0
0,0,0,0,58,1,2,0,2,0,1,0,1,2,0,1,0,37.0,2089.56,0
0,0,0,0,31,1,2,2,1,2,2,0,1,2,0,0,1,109.12,3453.03,1
0,1,0,0,36,0,0,1,0,0,0,0,2,1,0,1,3,62.5,2210.91,0
0,0,1,0,59,0,2,0,0,2,1,1,2,2,2,0,1,104.22,6110.75,0
1,1,1,1,9,1,2,0,0,0,0,2,2,1,2,1,1,20.39,271.6,0
1,0,1,0,66,1,2,0,1,0,0,2,0,2,1,1,1,48.97,3155.71,0
0,0,1,0,50,1,0,1,2,1,0,0,1,0,0,1,2,50.27,2691.77,1
0,0,1,0,53,1,0,0,2,2,1,2,2,2,1,1,2,20.45,1055.2,0
1,0,1,1,50,1,0,2,0,0,0,2,0,1,0,1,1,110.03,5481.11,1
0,0,1,1,11,1,0,0,1,1,0,0,2,0,2,0,3,21.27,373.5,0
0,0,0,1,70,0,0,1,0,0,0,2,2,2,0,1,2,114.79,8065.7,0
0,0,0,0,49,1,0,2,0,0,1,0,0,2,0,1,1,103.78,5148.48,1
0,0,1,1,9,1,0,1,2,0,2,2,2,2,0,0,1,37.0,385.65,1
0,0,0,1,44,1,0,1,0,1,1,2,0,2,2,0,3,28.1,1295.51,0
1,0,0,0,14,1,2,1,0,2,0,2,2,0,2,1,2,59.45,775.01,0
1,1,0,0,35,1,0,1,0,2,0,1,0,0,0,1,0,53.12,1752.29,0
0,0,0,1,43,1,0,1,1,2,2,1,0,0,2,0,2,96.68,4240.66,0
0,0,1,0,53,1,0,2,2,2,2,0,2,2,0,0,2,85.13,4564.54,1
0,0,1,0,24,1,1,0,2,0,0,2,2,2,0,1,2,55.77,1452.47,1
0,0,0,0,57,1,1,1,2,0,0,2,2,2,2,0,0,31.09,1877.2,0
0,0,1,0,5,1,2,1,0,1,2,2,1,2,2,1,3,115.43,501.75,0
0,1,1,1,65,1,0,0,2,0,1,2,2,2,0,0,3,80.3,5305.31,0
0,0,0,0,62,1,0,1,2,0,1,1,0,2,0,1,2,76.12,4652.45,1
1,0,1,0,45,1,2,2,2,1,0,0,0,0,0,0,2,65.05,3081.81,0
0,0,0,1,51,1,2,1,0,0,2,0,1,2,0,0,3,98.79,5105.37,0
0,0,0,0,59,1,0,1,0,0,0,0,0,2,1,0,1,82.36,4907.71,0
0,0,1,0,60,1,1,0,0,1,0,0,0,0,0,1,0,61.53,3744.45,1
1,0,1,1,27,1,2,1,0,0,1,1,0,2,1,1,0,65.08,1773.37,0
0,0,0,1,34,1,2,1,2,2,2,1,1,0,2,0,1,105.62,3666.71,0
0,0,1,1,44,1,2,1,2,1,0,0,0,0,0,1,3,25.3,976.65,0
0,0,1,0,48,1,0,0,0,2,1,0,1,1,0,1,1,98.74,4758.96,1
1,1,1,0,56,1,0,1,2,2,0,0,1,2,1,0,1,81.17,4426.79,0
0,0,1,0,25,1,1,0,2,1,1,2,0,2,2,0,2,62.01,1466.81,0
0,1,1,0,14,1,2,0,1,0,2,0,0,1,0,1,2,37.75,493.01,0
1,0,0,0,50,1,2,0,2,0,0,2,2,2,2,1,3,33.67,1657.37,0
0,0,1,0,56,1,2,0,0,0,2,0,2,2,0,0,1,112.96,6302.35,1
0,1,0,0,11,1,0,0,0,0,0,0,0,2,0,1,2,102.35,1125.05,0
1,0,1,0,53,1,2,2,0,0,1,0,2,0,0,1,1,82.65,4249.2,0
0,0,0,1,45,1,2,2,0,0,0,1,2,1,0,0,2,26.26,1130.32,1
0,0,0,1,11,0,0,0,1,0,2,2,2,0,0,1,2,66.94,615.03,0
1,0,1,1,38,1,0,0,0,1,1,0,2,2,2,1,1,99.69,3845.05,0
1,1,1,0,5,1,2,1,0,1,0,0,1,1,1,0,0,85.84,562.34,1
1,0,1,1,3,1,0,1,2,1,1,2,2,1,2,0,0,117.34,277.04,0
0,0,0,0,23,1,0,2,2,0,0,0,1,0,1,1,1,109.76,2606.72,0
1,1,0,0,67,1,0,0,0,2,1,0,2,2,0,1,3,116.71,7700.54,1
1,1,1,0,47,1,0,1,2,2,0,0,0,2,1,0,0,23.22,1236.94,1
1,0,1,1,25,0,0,1,0,1,0,2,2,0,2,0,2,66.44,1512.2,0
0,0,0,1,8,1,0,0,2,2,2,2,2,1,1,1,1,72.97,339.3,0
0,1,0,0,55,1,2,2,2,0,2,1,2,1,0,1,1,95.07,5101.92,0
0,1,1,0,19,1,0,2,0,0,2,1,0,0,0,0,0,100.59,2053.99,1
0,0,1,0,45,1,0,0,0,2,1,2,2,0,2,1,3,105.56,4673.26,0
0,1,0,1,66,1,2,1,1,0,2,1,2,2,0,0,0,51.74,3580.68,1
1,0,0,0,21,1,2,1,1,0,2,2,2,1,0,0,1,57.84,1199.89,0
0,1,1,0,60,1,2,2,2,2,2,2,2,2,1,0,0,48.86,3030.92,0
1,0,1,0,15,1,2,1,2,0,2,1,0,2,0,0,0,60.46,989.17,1
1,0,0,0,21,1,0,2,0,1,1,0,2,2,0,1,2,39.68,791.15,0
0,0,0,0,33,0,2,0,1,2,0,0,1,1,1,1,3,99.77,3287.28,0
0,0,0,0,44,1,2,1,2,0,0,1,0,0,2,1,2,63.56,2863.4,0
0,0,0,0,54,1,1,0,1,0,0,1,1,2,0,1,2,92.41,5013.13,1
1,0,0,0,10,1,0,2,0,2,0,0,2,0,0,1,1,24.47,184.48,1
0,0,1,0,45,1,2,2,0,0,1,0,1,2,0,1,0,85.84,3919.72,1
